term;course_code;title;topic;section;meet;day;start_time;end_time;venue;instructor;num_instructors;start_date;end_date;class_number;
2023-24 Term 1 / 1;ECON243;Demographic & Family Economics;;G2;1;MON;15:30;18:45;SOE/SCIS2 Seminar Room 3-9;CHRISTINE HO;1;14/08/2023;19/11/2023;2355;
2023-24 Term 1 / 1;ECON245;Applied Healthcare Analytics;;G1;1;THU;15:30;18:45;SOE/SCIS2 Seminar Room 2-4;DENIS LEUNG;1;14/08/2023;19/11/2023;1797;
2023-24 Term 1 / 1;ECON251;Microeconomics 2;;G1;1;TUE;12:00;13:30;SOE/SCIS2 Seminar Room 3-9;MASSIMILIANO LANDI;1;14/08/2023;19/11/2023;1625;
2023-24 Term 1 / 1;ECON251;Microeconomics 2;;G1;2;THU;12:00;13:30;SOE/SCIS2 Seminar Room 3-9;MASSIMILIANO LANDI;1;14/08/2023;19/11/2023;1625;
2023-24 Term 1 / 1;ECON251;Microeconomics 2;;G2;1;TUE;13:45;15:15;SOE/SCIS2 Seminar Room 3-9;MASSIMILIANO LANDI;1;14/08/2023;19/11/2023;1626;
2023-24 Term 1 / 1;ECON251;Microeconomics 2;;G2;2;THU;13:45;15:15;SOE/SCIS2 Seminar Room 3-9;MASSIMILIANO LANDI;1;14/08/2023;19/11/2023;1626;
2023-24 Term 1 / 1;ECON251;Microeconomics 2;;G3;1;TUE;15:30;18:45;SOE/SCIS2 Seminar Room 3-8;LEE GEA MYOUNG;1;14/08/2023;19/11/2023;1627;
2023-24 Term 1 / 1;ECON251;Microeconomics 2;;G4;1;WED;15:30;18:45;SOE/SCIS2 Seminar Room 3-6;LEE GEA MYOUNG;1;14/08/2023;19/11/2023;1628;
2023-24 Term 1 / 1;ECON251;Microeconomics 2;;SG91;;;;;;;;;;2647;
2023-24 Term 1 / 1;ECON252;Macroeconomics 2;;G1;1;MON;12:00;15:15;SOE/SCIS2 Seminar Room 3-8;HUYNH BAO TAN;1;14/08/2023;19/11/2023;1756;
2023-24 Term 1 / 1;ECON252;Macroeconomics 2;;G2;1;TUE;12:00;15:15;SOE/SCIS2 Seminar Room 3-4;HUYNH BAO TAN;1;14/08/2023;19/11/2023;1757;
2023-24 Term 1 / 1;ECON252;Macroeconomics 2;;G3;1;WED;19:00;22:15;SOE/SCIS2 Seminar Room 3-9;MOK WENG SAM;1;14/08/2023;19/11/2023;1758;
2023-24 Term 1 / 1;ECON252;Macroeconomics 2;;G4;1;THU;19:00;22:15;SOE/SCIS2 Seminar Room 3-9;MOK WENG SAM;1;14/08/2023;19/11/2023;2356;
2023-24 Term 1 / 1;ECON252;Macroeconomics 2;;SG81;1;;;;;MOK WENG SAM;1;14/08/2023;19/11/2023;2625;
2023-24 Term 1 / 1;ECON301;Advanced Microeconomics;;G1;1;TUE;15:30;17:00;SOE/SCIS2 Seminar Room 3-9;MASSIMILIANO LANDI;1;14/08/2023;19/11/2023;1318;
2023-24 Term 1 / 1;ECON301;Advanced Microeconomics;;G1;2;THU;15:30;17:00;SOE/SCIS2 Seminar Room 3-9;MASSIMILIANO LANDI;1;14/08/2023;19/11/2023;1318;
2023-24 Term 1 / 1;ECON400;Senior Thesis;;G1;1;;;;;MASSIMILIANO LANDI;1;14/08/2023;03/12/2023;2358;
2023-24 Term 1 / 1;ECON400;Senior Thesis;;G2;;;;;;;;;;2974;
2023-24 Term 1 / 1;ECON490;HEM Work-Study Elective;;G1;1;;;;;ALJOSCHA JANSSEN;1;14/08/2023;03/12/2023;2555;
2023-24 Term 1 / 1;ECON490;HEM Work-Study Elective;;G2;1;;;;;DENIS LEUNG;1;14/08/2023;03/12/2023;2556;
2023-24 Term 1 / 1;ECON490;HEM Work-Study Elective;;G3;1;;;;;LI JING;1;14/08/2023;03/12/2023;2557;
2023-24 Term 1 / 1;ECON490;HEM Work-Study Elective;;G4;1;;;;;MOK, HENG NGEE;1;14/08/2023;03/12/2023;2558;
2023-24 Term 1 / 1;ECON490;HEM Work-Study Elective;;G5;1;;;;;PASCALE CRAMA;1;14/08/2023;03/12/2023;2559;
2023-24 Term 1 / 1;ECON490;HEM Work-Study Elective;;G6;1;;;;;SHE ZHAOWEI;1;14/08/2023;03/12/2023;2560;
2023-24 Term 1 / 1;ECON490;HEM Work-Study Elective;;G7;1;;;;;TOMOKI FUJII;1;14/08/2023;03/12/2023;2561;
2023-24 Term 1 / 1;ECON490;HEM Work-Study Elective;;G8;1;;;;;ZHANG XUAN;1;14/08/2023;03/12/2023;2562;
2023-24 Term 1 / 1;FNCE101;Finance;;G1;1;THU;08:15;11:30;LKCSB Seminar Room 2-4;AMIT KUMAR;1;14/08/2023;19/11/2023;2193;
2023-24 Term 1 / 1;FNCE101;Finance;;G10;1;TUE;15:30;18:45;LKCSB Seminar Room 3-10;DAVID DING;1;14/08/2023;19/11/2023;2202;
2023-24 Term 1 / 1;FNCE101;Finance;;G11;1;THU;08:15;11:30;LKCSB Seminar Room 3-8;DAVID DING;1;14/08/2023;19/11/2023;2203;
2023-24 Term 1 / 1;FNCE101;Finance;;G12;1;MON;08:15;11:30;YPHSL Seminar Room 2-04;KE JINGHAO;1;14/08/2023;19/11/2023;2204;
2023-24 Term 1 / 1;FNCE101;Finance;;G13;1;MON;12:00;15:15;YPHSL Seminar Room 2-04;KE JINGHAO;1;14/08/2023;19/11/2023;2205;
2023-24 Term 1 / 1;FNCE101;Finance;;G14;1;WED;12:00;15:15;LKCSB Seminar Room 1-1;SAM PHOEN;1;14/08/2023;19/11/2023;2206;
2023-24 Term 1 / 1;FNCE101;Finance;;G15;1;WED;15:30;18:45;LKCSB Seminar Room 1-1;SAM PHOEN;1;14/08/2023;19/11/2023;2207;
2023-24 Term 1 / 1;FNCE101;Finance;;G16;1;THU;08:15;11:30;LKCSB Seminar Room 2-6;SHANG BOTONG;1;14/08/2023;19/11/2023;2208;
2023-24 Term 1 / 1;FNCE101;Finance;;G17;1;THU;15:30;18:45;LKCSB Seminar Room 2-8;SHANG BOTONG;1;14/08/2023;19/11/2023;2209;
2023-24 Term 1 / 1;FNCE101;Finance;;G18;1;MON;12:00;15:15;YPHSL Seminar Room 2-15;SIRIWAN CHUTIKAMOLTHAM;1;14/08/2023;19/11/2023;2210;
2023-24 Term 1 / 1;FNCE101;Finance;;G19;1;THU;12:00;15:15;LKCSB Seminar Room 3-1;SUN JIAN;1;14/08/2023;19/11/2023;2211;
2023-24 Term 1 / 1;FNCE101;Finance;;G2;1;TUE;12:00;15:15;LKCSB Seminar Room 3-9;AUROBINDO GHOSH;1;14/08/2023;19/11/2023;2194;
2023-24 Term 1 / 1;FNCE101;Finance;;G20;1;THU;19:00;22:15;LKCSB Seminar Room 3-5;SUN JIAN;1;14/08/2023;19/11/2023;2212;
2023-24 Term 1 / 1;FNCE101;Finance;;G3;1;TUE;19:00;22:15;LKCSB Seminar Room 3-9;AUROBINDO GHOSH;1;14/08/2023;19/11/2023;2195;
2023-24 Term 1 / 1;FNCE101;Finance;;G4;1;TUE;08:15;11:30;LKCSB Seminar Room 3-7;CHIRAPHOL NEW CHIYACHANTANA;1;14/08/2023;19/11/2023;2196;
2023-24 Term 1 / 1;FNCE101;Finance;;G5;1;TUE;15:30;18:45;LKCSB Seminar Room 3-8;CHIRAPHOL NEW CHIYACHANTANA;1;14/08/2023;19/11/2023;2197;
2023-24 Term 1 / 1;FNCE101;Finance;;G6;1;WED;08:15;11:30;LKCSB Seminar Room 3-9;CHIRAPHOL NEW CHIYACHANTANA;1;14/08/2023;19/11/2023;2198;
2023-24 Term 1 / 1;FNCE101;Finance;;G7;1;WED;15:30;18:45;LKCSB Seminar Room 3-1;CHIRAPHOL NEW CHIYACHANTANA;1;14/08/2023;19/11/2023;2199;
2023-24 Term 1 / 1;FNCE101;Finance;;G8;1;TUE;08:15;11:30;LKCSB Seminar Room 3-8;DAVID DING;1;14/08/2023;19/11/2023;2200;
2023-24 Term 1 / 1;FNCE101;Finance;;G9;1;MON;15:30;18:45;YPHSL Seminar Room 2-15;SIRIWAN CHUTIKAMOLTHAM;1;14/08/2023;19/11/2023;2201;
2023-24 Term 1 / 1;FNCE101;Finance;;SG81;1;;;;;DAVID DING;1;14/08/2023;19/11/2023;2573;
2023-24 Term 1 / 1;FNCE101;Finance;;SG82;1;;;;;KE JINGHAO;1;14/08/2023;19/11/2023;2585;
2023-24 Term 1 / 1;FNCE101;Finance;;SG83;1;;;;;CHIRAPHOL NEW CHIYACHANTANA;1;14/08/2023;19/11/2023;2606;
2023-24 Term 1 / 1;FNCE101;Finance;;SG84;1;;;;;SUN JIAN;1;14/08/2023;19/11/2023;2628;
2023-24 Term 1 / 1;FNCE102;FMI;;G1;1;TUE;08:15;11:30;LKCSB Seminar Room 3-1;CHAN SOON HUAT;1;14/08/2023;19/11/2023;2214;
2023-24 Term 1 / 1;FNCE102;FMI;;G2;1;WED;12:00;15:15;LKCSB Seminar Room 3-4;CHAN SOON HUAT;1;14/08/2023;19/11/2023;2215;
2023-24 Term 1 / 1;FNCE102;FMI;;G3;1;THU;15:30;18:45;LKCSB Seminar Room 3-7;CHAN SOON HUAT;1;14/08/2023;19/11/2023;2216;
2023-24 Term 1 / 1;FNCE102;FMI;;G4;1;WED;08:15;11:30;LKCSB Seminar Room 2-4;ZHANG HONG;1;14/08/2023;19/11/2023;2217;
2023-24 Term 1 / 1;FNCE102;FMI;;G5;1;WED;15:30;18:45;SOA Seminar Room 2-1;ZHANG HONG;1;14/08/2023;19/11/2023;2218;
2023-24 Term 1 / 1;FNCE102;FMI;;G6;1;MON;12:00;15:15;LKCSB Seminar Room 3-9;KAREN GAN;1;14/08/2023;19/11/2023;2219;
