term;course_code;title;topic;section;meet;day;start_time;end_time;venue;instructor;num_instructors;start_date;end_date;class_number;
2022-23 Term 1 / 1;LGST201;Company Law;;G3;1;MON;12:00;15:15;YPHSL Seminar Room 3-01;LAU KAH HEE;1;15/08/2022;20/11/2022;1237;
2022-23 Term 1 / 1;LGST201;Company Law;;G50;1;TUE;15:30;18:45;YPHSL Seminar Room 2-04;STEPHEN BULL;1;15/08/2022;20/11/2022;1628;
2022-23 Term 1 / 1;MGMT102;Strategy;;G1;1;FRI;12:00;15:15;LKCSB Seminar Room 3-8;ADAM TATARYNOWICZ;1;15/08/2022;20/11/2022;1296;
2022-23 Term 1 / 1;MGMT102;Strategy;;G10;1;THU;12:00;15:15;LKCSB Seminar Room 2-7;WHITNEY, ZHANG WEI;1;15/08/2022;20/11/2022;1201;
2022-23 Term 1 / 1;MGMT102;Strategy;;G11;1;WED;19:00;22:15;LKCSB Seminar Room 3-9;KOH HOCK TEE;1;15/08/2022;20/11/2022;1269;
2022-23 Term 1 / 1;MGMT102;Strategy;;G12;1;THU;12:00;15:15;LKCSB Seminar Room 3-1;KOH HOCK TEE;1;15/08/2022;20/11/2022;1280;
2022-23 Term 1 / 1;MGMT102;Strategy;;G13;1;MON;19:00;22:15;LKCSB Seminar Room 3-6;VICTOR GOH;1;15/08/2022;20/11/2022;1286;
2022-23 Term 1 / 1;MGMT102;Strategy;;G14;1;TUE;19:00;22:15;LKCSB Seminar Room 3-6;VICTOR GOH;1;15/08/2022;20/11/2022;1377;
2022-23 Term 1 / 1;MGMT102;Strategy;;G2;1;WED;15:30;18:45;LKCSB Seminar Room 3-3;ADAM TATARYNOWICZ;1;15/08/2022;20/11/2022;1195;
2022-23 Term 1 / 1;MGMT102;Strategy;;G3;1;WED;12:00;15:15;LKCSB Seminar Room 3-3;ADAM TATARYNOWICZ;1;15/08/2022;20/11/2022;1196;
2022-23 Term 1 / 1;MGMT102;Strategy;;G5;1;MON;08:15;11:30;LKCSB Seminar Room 1-2;PATRICK TAN SIONG KUAN;1;15/08/2022;20/11/2022;1198;
2022-23 Term 1 / 1;MGMT102;Strategy;;G6;1;MON;12:00;15:15;LKCSB Seminar Room 1-2;PATRICK TAN SIONG KUAN;1;15/08/2022;20/11/2022;1199;
2022-23 Term 1 / 1;MGMT102;Strategy;;G7;1;TUE;08:15;11:30;LKCSB Seminar Room 2-6;PATRICK TAN SIONG KUAN;1;15/08/2022;20/11/2022;1350;
2022-23 Term 1 / 1;MGMT102;Strategy;;G8;1;TUE;12:00;15:15;LKCSB Seminar Room 3-3;WHITNEY, ZHANG WEI;1;15/08/2022;20/11/2022;1200;
2022-23 Term 1 / 1;MGMT102;Strategy;;G9;1;WED;12:00;15:15;LKCSB Seminar Room 3-8;WHITNEY, ZHANG WEI;1;15/08/2022;20/11/2022;1627;
2022-23 Term 1 / 1;MGMT102;Strategy;;SG81;1;;;;;VICTOR GOH;1;15/08/2022;20/11/2022;2605;
2022-23 Term 1 / 1;MGMT102;Strategy;;SG91;;;;;;;;;;2666;
2022-23 Term 1 / 1;MGMT104;Corporate Entre. & Innovation;;G1;1;MON;15:30;18:45;LKCSB Seminar Room 1-2;PATRICK TAN SIONG KUAN;1;15/08/2022;20/11/2022;1202;
2022-23 Term 1 / 1;MGMT106;Introduction to Organisations;;G1;1;MON;08:15;11:30;LKCSB Seminar Room 3-4;ANDREW MIN HAN CHIN;1;15/08/2022;20/11/2022;1347;
2022-23 Term 1 / 1;MGMT106;Introduction to Organisations;;G2;1;MON;12:00;15:15;LKCSB Seminar Room 3-4;ANDREW MIN HAN CHIN;1;15/08/2022;20/11/2022;1385;
2022-23 Term 1 / 1;MGMT108;Intro to Business Analytics;;G1;1;TUE;08:15;11:30;LKCSB Seminar Room 2-4;MARCUS ANG TECK MENG;1;15/08/2022;20/11/2022;1495;
2022-23 Term 1 / 1;MGMT205;International Business;;G1;1;TUE;08:15;11:30;LKCSB Seminar Room 3-8;JUDY TAN;1;15/08/2022;20/11/2022;1497;
2022-23 Term 1 / 1;MGMT205;International Business;;G2;1;WED;08:15;11:30;LKCSB Seminar Room 2-7;JUDY TAN;1;15/08/2022;20/11/2022;1808;
2022-23 Term 1 / 1;MGMT218;Entre. & Bus. Creat'n;;G1;1;WED;15:30;18:45;YPHSL Seminar Room 2-04;ALVIN POH;1;15/08/2022;20/11/2022;1204;
2022-23 Term 1 / 1;MGMT222;Family Business;;G1;1;MON;12:00;15:15;LKCSB Seminar Room 3-3;ROGER LOW;1;15/08/2022;20/11/2022;1317;
2022-23 Term 1 / 1;MGMT223;Sustainable Entrepreneurship;;G1;1;MON;08:15;11:30;YPHSL Seminar Room 2-05;KENNETH GOH;1;15/08/2022;20/11/2022;2193;
2022-23 Term 1 / 1;MGMT232;Business Consulting;;G1;1;THU;12:00;15:15;LKCSB Seminar Room 1-2;STEFAN MORKOETTER;1;15/08/2022;20/11/2022;2253;
2022-23 Term 1 / 1;MGMT232;Business Consulting;;G1;1;THU;12:00;15:15;LKCSB Seminar Room 1-2;MATTHIAS TIETZ;2;15/08/2022;20/11/2022;2253;
2022-23 Term 1 / 1;MGMT232;Business Consulting;;G2;1;THU;15:30;18:45;LKCSB Seminar Room 1-2;STEFAN MORKOETTER;1;15/08/2022;20/11/2022;2254;
2022-23 Term 1 / 1;MGMT232;Business Consulting;;G2;1;THU;15:30;18:45;LKCSB Seminar Room 1-2;MATTHIAS TIETZ;2;15/08/2022;20/11/2022;2254;
2022-23 Term 1 / 1;MGMT235;Sustain Mgmt & Governance;;G1;1;TUE;08:15;11:30;SMUC Active Learning CR 3-3;NARAE LEE;1;15/08/2022;20/11/2022;2194;
2022-23 Term 1 / 1;MGMT235;Sustain Mgmt & Governance;;G2;1;WED;08:15;11:30;SMUC Active Learning CR 3-3;NARAE LEE;1;15/08/2022;20/11/2022;2195;
2022-23 Term 1 / 1;MGMT235;Sustain Mgmt & Governance;;G3;1;THU;08:15;11:30;SMUC Active Learning CR 3-3;NARAE LEE;1;15/08/2022;20/11/2022;2196;
2022-23 Term 1 / 1;MGMT236;Mng Strat Chg & Dig Transfn;;G1;1;THU;08:15;11:30;LKCSB Seminar Room 2-6;GENG XUESONG;1;15/08/2022;20/11/2022;2197;
2022-23 Term 1 / 1;MGMT237;Corporate Strategy;;G1;1;MON;15:30;18:45;SOA Seminar Room 3-1;NINA TAN;1;15/08/2022;20/11/2022;1678;
2022-23 Term 1 / 1;MGMT244;Fraud Protection for Entre;;G1;1;TUE;19:00;22:15;LKCSB Classroom 3-2;ADRIAN WEE;1;15/08/2022;20/11/2022;2198;
2022-23 Term 1 / 1;MGMT301;Country Studies/BSM;Thailand;G1;1;TUE;12:00;15:15;SOA Seminar Room 1-2;MATTHIAS TIETZ;1;15/08/2022;20/11/2022;2281;
2022-23 Term 1 / 1;MGMT301;Country Studies/BSM;Vietnam;G2;1;TUE;19:00;22:15;LKCSB Seminar Room 2-7;CHARLES PHUA CHAO RONG;1;15/08/2022;20/11/2022;2282;
2022-23 Term 1 / 1;MGMT301;Country Studies/BSM;Shanghai;G3;1;TUE;12:00;15:15;LKCSB Seminar Room 1-2;CHARLOTTE SCHUSTER;1;15/08/2022;20/11/2022;2283;
2022-23 Term 1 / 1;MGMT317;Managing Process Improvement;SMU-X;G1;1;MON;12:00;15:15;SMUC Active Learning CR 3-2;EDMUND TAN;1;15/08/2022;20/11/2022;1875;
2022-23 Term 1 / 1;MGMT317;Managing Process Improvement;SMU-X;G1;1;MON;12:00;15:15;SMUC Active Learning CR 3-2;WILLIAM FONG;2;15/08/2022;20/11/2022;1875;
2022-23 Term 1 / 1;MGMT318;Design Thinking and Innovation;SMU-X;G1;1;TUE;15:30;18:45;SMUC Active Learning CR 3-2;WILSON TENG;1;15/08/2022;20/11/2022;1270;
2022-23 Term 1 / 1;MGMT319;Mgmt of Technology & Innov.;;G1;1;WED;08:15;11:30;SOA Seminar Room 3-4;TERENCE FAN;1;15/08/2022;20/11/2022;1679;
2022-23 Term 1 / 1;MGMT321;Business Study Mission-Global;Spain;G1;1;THU;15:30;18:45;LKCSB Seminar Room 3-1;TAN WEE LIANG;1;15/08/2022;20/11/2022;2639;
2022-23 Term 1 / 1;MGMT330;The Design of Business;SMU-X;G1;1;THU;12:00;15:15;SMUC Active Learning CR 3-3;SIMON SCHILLEBEECKX;1;15/08/2022;20/11/2022;1563;
2022-23 Term 1 / 1;MGMT330;The Design of Business;SMU-X;G2;1;TUE;19:00;22:15;SMUC Active Learning CR 3-2;YONG HSIN NING;1;15/08/2022;20/11/2022;1564;
2022-23 Term 1 / 1;MGMT330;The Design of Business;SMU-X;G3;1;MON;19:00;22:15;SMUC Active Learning CR 3-3;VIVIEN KOH;1;15/08/2022;20/11/2022;1565;
2022-23 Term 1 / 1;MGMT330;The Design of Business;SMU-X;G3;1;MON;19:00;22:15;SMUC Active Learning CR 3-3;RUTH CHIANG;2;15/08/2022;20/11/2022;1565;
2022-23 Term 1 / 1;MGMT330;The Design of Business;SMU-X;G4;1;WED;19:00;22:15;SMUC Active Learning CR 3-3;KOH WEE LENG;1;15/08/2022;20/11/2022;1566;
2022-23 Term 1 / 1;MGMT330;The Design of Business;SMU-X;G5;1;FRI;08:15;11:30;SMUC Active Learning CR 3-1;JOHN ANTONY;1;15/08/2022;20/11/2022;1567;
2022-23 Term 1 / 1;MGMT330;The Design of Business;SMU-X;G6;1;TUE;12:00;15:15;SMUC Active Learning CR 3-2;ADAM GERARD;1;15/08/2022;20/11/2022;2201;
2022-23 Term 1 / 1;MGMT330;The Design of Business;SMU-X;G7;1;WED;12:00;15:15;SMUC Active Learning CR 3-1;MAAIKE DOYER;1;15/08/2022;20/11/2022;2202;
2022-23 Term 1 / 1;MGMT330;The Design of Business;SMU-X;G8;1;WED;15:30;18:45;SMUC Active Learning CR 3-1;MAAIKE DOYER;1;15/08/2022;20/11/2022;2203;
2022-23 Term 1 / 1;MGMT342;Org Aspects of Sust Innovation;;G1;1;THU;08:15;11:30;LKCSB Seminar Room 3-10;THOMAS MENKHOFF;1;15/08/2022;20/11/2022;1762;
2022-23 Term 1 / 1;MGMT342;Org Aspects of Sust Innovation;;G1;1;THU;08:15;11:30;LKCSB Seminar Room 3-10;KAN SIEW NING;2;15/08/2022;20/11/2022;1762;
